Product,Consumer complaint narrative
Vehicle loan or lease,"I contacted Ally on Friday XX/XX/XXXX after falling behind on payments due to being out of work for a short period of time due to an illness. I chated with a representative after logging into my account regarding my opitions to ensure I protect my credit and bring my account current. 

She advised me that before an extenstion could be done, I had to make a payment in the amount of {$270.00}. I reviewed my finances, as I am playing catch up on all my bills and made this payment on Monday XX/XX/XXXX. This rep advised me, once this payment posts to my account to contact Ally back for an extention or to have a payment deffered to the end of my loan. 

With this in mind, I contacted Ally again today and chatted with XXXX. I explained all of the above and the information I was provided when I chatted with the rep last week. She asked several questions and advised me that a one or two month  extension/deffered payment could be done however partial payment is needed! WHAT? She advised me {$230.00} or there abouts would be due within 10 days from me accepting the agreement and then the remaining bal of {$150.00} or there abouts would be due in XX/XX/XXXX. In XX/XX/XXXX, my payments of {$380.00} per month would resume. 

If this was the case, I SHOULD HAVE JUST BEEN OFFERED THIS WHEN I JUST MADE MY PAYMENT so that I could catch up on my bills. 

This company was working with XXXX in New Jersey which has since closed most likely due to illegal practices, they changed my loan company to this company after I had signed paperwork for another, kill you with interest rates and has NEVER once considered refiancing my vechile for a lower interest rate ( due to the age of the vechile other companies will not take it ) and THEY DO NOT WORK WITH YOU!"
"Money transfer, virtual currency, or money service",On XX/XX/XXXX I was logged out of my coinbase.com account and lost access to it. This was because my phone number was sim swapped and someone got my personal information. I was sim swapped on XX/XX/XXXX and this happened on the XXXX of XXXX of this year ( 2021 ). I had close to {$8000.00} in Bitcoin in my account. I emailed Coinbase.com multiple times but no response has been received.
"Credit reporting, credit repair services, or other personal consumer reports","Hello This complaint is against the three credit reporting companies. XXXX, Trans Union and XXXX. I noticed some discrepencies on my credit report so I put a credit freeze with XXXX.on XX/XX/2019. I then notified the three credit agencies previously stated with a writtent letter dated XX/XX/2019 requesting them to verifiy certain accounts showing on my report They were a Bankruptcy and a bank account from XXXX XXXX XXXX. 
The response from XXXX and XXXX  was that it was verified through their third partner XXXX. That can not be correct because I have a Freeze on my XXXX XXXX account since XX/XX/XXXX. which no one can obtain my report for anything until I unfreeze it. 
I wrote XXXX and XXXX a second letter and mailed them on XX/XX/2019 telling them that they have lied when they said that they verified the two accounts in question using XXXX because I have a freeze on my account and when I called XXXX on XX/XX/2019 they stated that no one has requested or attempted access to my account this year. I told them that they are in violation of my consumer rights and demand that these two accounts be removed from my report immediately. Only XXXX wrote back a letter dated XX/XX/2019 stating that XXXX verified the accounts and that I should talk to them if I have a complaint. 

Trans Union never responded to my letter dated XX/XX/2019 to verifiy the two accounts in question since and the 30 plus days to investigate my claim has been expired. When I Checked my Credit report with TransUnion, It states that they too uses XXXX to verify the two accounts in question. I also wrote them a second letter and mailed it on XX/XX/2019 stating that they are in violation of my consumer rights and demand that these two accounts be removed from my report immediately. 

Please investigate these compnaies because what they are doing is wrong. They are using a third party that gives wrong information and attach it to your account and then tell you to fight them to get it corrected. No I dont have to fight because XXXX, XXXX and Trans union all lied and said that XXXX verified and account which is impossible because my account with them is FROZEN and no one can access it but I. I demand that these items on my account that was not verified be removed from my account because they are in violation of my rights and not to mention, Trans union did not even respond to my investigation request."
"Credit reporting, credit repair services, or other personal consumer reports","I am a victim of Identity Theft & currently have an Experian account that I can view my Experian Credit Report and getting notified when there is activity on my Experian Credit Report. For the past 3 days I've spent a total of approximately 9 hours on the phone with Experian. Every time I call I get transferred repeatedly and then my last transfer and automated message states to press 1 and leave a message and someone would call me. Every time I press 1 I get an automatic message stating than you before I even leave a message and get disconnected. I call Experian again, explain what is happening and the process begins again with the same end result. I was trying to have this issue attended and resolved informally but I give up after 9 hours. There are hard hit inquiries on my Experian Credit Report that are fraud, I didn't authorize, or recall and I respectfully request that Experian remove the hard hit inquiries immediately just like they've done in the past when I was able to speak to a live Experian representative in the United States. The following are the hard hit inquiries : BK OF XXXX XX/XX/XXXX XXXX XXXX XXXX  XX/XX/XXXX XXXX  XXXX XXXX  XX/XX/XXXX XXXX  XX/XX/XXXX XXXX  XXXX XX/XX/XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","Two accounts are still on my credit history after contacting the credit bureau. They have the incorrect status and account balances. 

XXXX XXXX - XXXX XXXX XXXX XXXX - XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","Receiving daily telephone call ( s ) from XXXX XXXX XXXX identifying themselves as from an attorney 's office and I am unable to decifer the name after asking 3 times. They ask me to confirm that my name is "" prior married name "". I ask what they want and they repeat the question. I responded yes and they hang up. 

The next call from that number was asking me if I was a different name - my maiden name which I recently change to. When I asked for clarification, they hung up. 

I have received a total of 6 calls in approx 2 days. They never divulge what they want after attempting to verify my name ( s )"
Credit card or prepaid card,I have a bank of America small business credit card that I had requested to close. However it was not never processed and the bank charged me the annual fee and late payment fee for XXXX ( from XX/XX/XXXX till XX/XX/XXXX ). I was out of USA during this period and once I returned I visited the branch in XXXX CA multiple times to get this resolved. I was told the charges will be removed but never got these removed so far. Hence I am raising the complain.
Credit card or prepaid card,I opened a citi double cash card the beginning of XXXX and still have not received. They keep telling me they will resend a replacement card and still have not received it. They have told me that they have sent it out 3 times but yet still have not gotten the card. I have called to complain but they still havent resolved it. They wont overnight me the card. Its getting absurd at this point. I have never had so much grief for opening a credit card.
"Credit reporting, credit repair services, or other personal consumer reports","Although I am checking for and addressing missing and or deficient aspects of REPORTING COMPLIANCES and not contesting any debt of compliant nature, I should make you aware that since unlawful reporting transitions collection into an equally not complaint circumstance. Being still yet not validated by document fact in compliance to requisite standards, it is to be announced yet again that legally I have no knowledge of the validity of the alleged claims of delinquency and or derogatory nature, nor of the certifiably compliant matter to either any of its collection attempts and or its reporting despite previous consumer filed composed complaints checking for each. Might it be known, especially shall I elect to take this matter up to a civil court, any debt and or derogatory claim must be pursued ( particularly for collection ) in a very defined and precisely compliant and physically verifiable or certifiable manner as detailed in the requisite obeyed federal and state collection and reporting regulations associated with any of the above noted said claim ( s ) to include but not limited to the FCBA, FCRA, HIPAA PRIVACY RULE, FACTA, FDCPA and TCPA, etc. ADDITIONALLY, if an entity acts as a collector and also elects to act as a reporting party of consumer credit they must as well adhere to every single one even each any and all of the regulatory reporting requisites and standards of reporting with legal standing in full accordance of laws and accepted reporting standards. To date, the plaintiff has failed to demonstrate any capacity or willingness to validate the alleged debt much less certify the fair, accurate, complete and compliant reporting of the claims, particularly being significantly deficient is any display of certified metro 2 compliance. As such, given the fact of recent breaches of information collection"
"Credit reporting, credit repair services, or other personal consumer reports","To : Whom It May concern : I am writing to dispute a fraudulent charge on my account in the amount of {$11000.00}, {$13000.00}, {$0.00}. 
I am a victim of Identity theft, and I did not make or authorize this charge. I am requesting that the charge be removed, that any finance other charges related to the fraudulent amount be credited, as well and that I receive an accurate statement. This request is made pursuant to the Fair Credit Billing Acts amendments to the Truth in Lending Act, 15 U.S.C. 1666-1666b, 12 C.F.R 226.13. See Also 12 C.F.R 226.12 ( b ) -- CLOSED ACCOUNTS 1. XXXX XXXX XXXX with ACCT # XXXX   opened on XX/XX/XXXX with a balance of {$11000.00} -This is not my account. 

2. XXXX XXXX XXXX with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$13000.00} -This is not my account. 


-- AUTO ACCOUNT 3. XXXX XXXX XXXX  with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$0.00} -This is not my account."
"Credit reporting, credit repair services, or other personal consumer reports","Original CFPB Complaint # XXXX Against XXXX XXXX XXXX XXXX In XXXX or XXXX we refinanced our XXXX XXXX XXXX XXXX XXXX. The original loan was with XXXX XXXX XXXX XXXX. We refinanced the loan with XXXX XXXX XXXX XXXX ( XXXX ) in XXXX Texas. XXXX called XXXX XXXX XXXX and received a payoff of the loan good till XX/XX/XXXX. XXXX issued a check in the full amount provided by XXXX XXXX XXXX on XX/XX/XXXX. XXXX XXXX XXXX did not submit the check from XXXX until XX/XX/XXXX per XXXX records. XXXX XXXX XXXX began reporting late pays on both my wife 's and my credit reports for the difference between the payoff provided thru XX/XX/XXXX and when they deposited the payoff check on XX/XX/XXXX. These late pays continued through XXXX of XXXX. We only aware of this in accuracy the week of XX/XX/XXXX when working to make a major purchase. XXXX XXXX XXXX XXXX actions are unacceptable based on their internal processing of the check. We should not have been penalized/reported late on our credit reports. This has significantly damaged our credit rating to the point that we are now unable to obtain a loan on our pending purchase. We have attempted to resolve the matter with XXXX XXXX XXXX to no avail thus far. We continue to receive stall and deflect actions from them. We now at the point of losing our option on the purchase we were attempting. Based on information provided by XXXX, the payoff amount check was issued and mailed to XXXX XXXX XXXX 8 days prior to the payoff date provided of XX/XX/XXXX. XXXX XXXX XXXX should not have reported to our credit reports due to their inability to process payments in a timely manner. 

The issue above was resolved with XXXX XXXX XXXX XXXX to correct all incorrect reporting from the furnisher ( XXXX XXXX XXXX XXXX ) in XXXX of this year. We received a letter from the Office of the President that outlined the steps they would take to correct the wrong reporting. ( Attached ) XXXX XXXX XXXX XXXX sent to all three Credit Reporting Agencies ( CRA ) XXXX, Equifax, and XXXX the correct information to be updated and reported on our accounts. The CRA 's were to remove any and all derogatory comments related to the XXXX XXXX XXXX trades, payment history, payment status, all late payments, any reference to charge off and/or settlement. In addition we were refunded two checks from XXXX XXXX XXXX for the charges that were incorrectly billed to us in addition to the above. The CRA 's have only made a portion of the corrections to our accounts and left other incorrection information in place. If fact, some of the initial changes that they made, they have changed back to derogatory 30 days after the corrections were made. This has caused my credit score to drop 47 points as of XXXX."
"Money transfer, virtual currency, or money service","In an attempt to purchase concert tickets, I communicated with an internet seller. He gave his name, email address and phone number and via a phone conversation, explained that he felt more secure using XXXX  through his bank account. He sent a screenshot with a confirmation that tickets had been transferred to my friend with all relevant personal information and pickup information confirmed - it looks legitimate. 

I initiated the transfer through XXXX via my Chase Banking app, presuming that I was protected by Chase Fraud services if the transaction were to go sour. If I was transferring money from within my Chase account, SURELY Chase services would still protect me, right? No ... .I was wrong. I confirmed the transaction and followed the seller 's instructions for ticket pickup, however the tickets were not there as promised, and when I tried to contact the seller, he of course was unresponsive. Nowhere in the XXXX  payment initiation process does it prompt you to confirm that the transfer is NOT protected by the normal Chase fraud protection, again, despite the fact that it is literally embedded in the bank account. It's incredibly, and intentionally, unclear and misleading. The entire point of using this tool was to avoid something like XXXX, which in retrospect, is exactly the same thing. 

I presume his information is also fraudulent however here it is : Name : XXXX XXXX Email Address : XXXX Phone Number : XXXX Bank : XXXX Method of Transfer : XXXX  ( Chase to XXXX ) Amount : {$750.00}"
Mortgage,"I am attempting to sell my home and pay off my home loan with PHH Mortgage. PHH has been awful to work with. I attempted to obtain a pay off several times on their website, which does not work and I advised them it does not work. My attorney, under my authorization has contacted them several times over the previous several weeks and has been unable to obtain a pay off amount. It seems like they make the process difficult, confusing or technically difficult to avoid customers paying off. I am extremely frustrated and as you can see, my attorney is also. PLEASE HELP ME! We need my payoff statement faxed to my attorney at XXXX From : XXXX XXXX Date : Mon, XX/XX/2019 at XXXX XXXX Subject : XXXXXXX To : XXXX XXXX XXXX ; I am still waiting on the official third party payoff statement : yours was good for providing a figure, but we need the official one as a third party generated and with full remittance details. I should have had my request filled on Wednesday, or Friday, or by now this morning. I am beyond beyond frustrated with PHH and their call center. I have faxed the requests twice in XXXX, twice on XX/XX/XXXX and twice today and they refuse to acknowledge acceptance, generate a statement for me, or provide an email address so that I can ensure the faxes are getting to them. ( My fax system shows all XXXX of the requests were successfully transmitted. ) Can you call them at XXXX and ask them to fax the statement for loan nr XXXX to me at XXXX, please? I will note for my files that all PHH payoffs going forward will have to be ordered by clients. Ive spent over an hour on the phone today as well as all the transmissions and its beyond my tolerance levels. I am sure you are over it too, by now."
Vehicle loan or lease,"We are writing this letter to dispute a delinquent payment reported for XX/XX/2018 under our GM Financial account. 
Our account was set up for autopay and we were unaware that the autopay had an expiration date. 
According to customer service, the autopay ended XX/XX/2018 so our XX/XX/2018 payment was delinquent. 
We use autopay for many accounts and the autopay is usually continuous for the life of the loan/account. 
We explained to their customer service department that we didnt receive any notices that our autopay was going to be ending soon or that it needed to be renewed. They said that they dont provide these types of notifications because it is the customer who sets up the autopay. 
We also explained to their customer service department that we never received any phone calls that we were past due on any payments. They explained that the collections department tried to contact one of the numbers on file and was told not to call that number again. On further review of the loan application, it appears they reached out to my husbands HR department at work which he placed on the lease application to verify employment. They said that eventhough they didnt try to reach out to our cellphones, they are not required to even call us. The call they made to my husbands HR department was just a courtesy call. 
We would like to file a complaint against GM Financial as we do not feel GM Financial notified us appropriately before reporting a delinquency to the credit agencies. We feel that GM Financial should have either notified us that our autopay would be ending soon or that the autopay had ended. We also feel that GM financial should have called our cellphones not our HR department to reach us."
